"","aic_df$names","aic_df$LL","diff"
"9","d_50",-281.191134322548,-120.5694
"10","d_500",-278.527197686802,-117.9055
"8","d_450",-277.239751657737,-116.6181
"1","d_100",-276.174236132681,-115.5525
"7","d_400",-276.161718154745,-115.54
"3","d_200",-275.985492898256,-115.3638
"4","d_250",-274.888236348302,-114.2665
"6","d_350",-274.171909487175,-113.5502
"2","d_150",-274.070429355312,-113.4487
"5","d_300",-273.370043363999,-112.7483
"19","y_50",-167.551577739772,-6.9299
"17","y_400",-166.833076800739,-6.2114
"20","y_500",-166.310320923016,-5.68860000000001
"13","y_200",-165.681890440429,-5.06020000000001
"18","y_450",-165.115330235803,-4.49359999999999
"16","y_350",-164.532233544138,-3.91049999999998
"12","y_150",-164.142885520315,-3.52119999999999
"15","y_300",-163.514630477811,-2.8929
"14","y_250",-163.195643468857,-2.57390000000001
"11","y_100",-160.621737803672,0
